Date,BtcA,MoneroA,BtcP,MoneroP
18/12/2017,19106.4,353.07,19910.64,335.01196
19/12/2017,19118.3,381.07,19856.365,354.31876
20/12/2017,17760.3,375.71,20170.285,377.15656
21/12/2017,16642.4,470.29,18932.791,368.47104
22/12/2017,15898,419.53,19023.053,440.90048
23/12/2017,13948.7,349.76,17770.703,398.27
24/12/2017,14608.201,391.02,15241.97,336.4633
25/12/2017,13995.9,339.69,16279.392,371.81497
26/12/2017,14036.6,361.09,15187.259,328.26892
27/12/2017,16163.501,381.3,15436.454,345.99606
28/12/2017,15864.1,422.51,17584.566,368.1918
29/12/2017,14695.8,381.3,17774.033,400.56244
30/12/2017,14681.9,378.52,16253.8545,364.17697
31/12/2017,12897.7,329,16211.253,361.8841
01/01/2018,14112.2,349.55,14070.905,316.66583
02/01/2018,13625,359.06,15390.289,336.70828
03/01/2018,14978.2,382.74,15035.597,343.29578
04/01/2018,15270.7,414.41,16527.676,366.0913
05/01/2018,15477.2,402.38,17149.814,392.36746
06/01/2018,17462.1,385.37,17201.203,383.2714
07/01/2018,17527.3,456.15,18776.768,375.3897
08/01/2018,16476.2,458.35,19638.469,432.38376
09/01/2018,15123.699,403.71,18734.967,430.93338
10/01/2018,14588.5,413.25,16894.09,383.3867
11/01/2018,14968.2,406.08,16512.19,389.6237
12/01/2018,13453.9,358.62,16778.84,384.8747
13/01/2018,13952.4,393.04,14872.469,342.51138
14/01/2018,14370.8,420.34,15696.16,371.77325
15/01/2018,13767.299,396.02,16393.432,394.72565
16/01/2018,13836.101,415.93,15556.933,373.7181
17/01/2018,11431.1,318.93,15845.218,389.8713
18/01/2018,11198.8,320.6,12602.292,304.87656
19/01/2018,11429.799,314.13,12396.076,305.76944
20/01/2018,11656.2,367.64,12559.597,300.8467
21/01/2018,12889.2,384.53,13271.079,345.734
22/01/2018,11633.099,348.91,14611.735,362.30438
23/01/2018,10944.5,315.31,13066.834,330.27087
24/01/2018,10903.4,308.93,12108.089,300.78687
25/01/2018,11421.7,322.17,12014.964,295.33295
26/01/2018,11256,316.6,12621.693,307.5692
27/01/2018,11174.9,325.31,12415.845,302.53998
28/01/2018,11475.3,322.96,12414.599,309.6589
29/01/2018,11755.5,331.78,12679.505,308.3479
30/01/2018,11306.8,317.36,13023.8955,316.33075
31/01/2018,10108.2,274.9,12470.678,303.28815
01/02/2018,10237.3,273.88,10986.564,264.77344
02/02/2018,9142.28,240.83998,11102.746,264.16486
03/02/2018,8852.12,236.50998,9822.951,233.4529
04/02/2018,9175.7,251.97,9514.931,229.12622
05/02/2018,8270.54,219.04,9927.556,243.17967
06/02/2018,7051.75,180.87,8846.176,212.7453
07/02/2018,7755.49,210.73,7459.1025,176.73785
08/02/2018,7637.86,207.78,8297.139,204.5016
09/02/2018,8271.84,247.82999,8166.142,201.68909
10/02/2018,8720.08,260.59,9020.944,237.90953
11/02/2018,8616.13,249.44,9542.956,249.77197
12/02/2018,8141.43,229.87,9367.552,239.93298
13/02/2018,8926.72,247.99,8782.786,222.01625
14/02/2018,8599.92,234.34,9660.1455,239.25479
15/02/2018,9488.32,276.08,9256.706,226.76022
16/02/2018,10135.7,301.01,10398.188,264.54697
17/02/2018,10207.5,296,11214.293,287.05322
18/02/2018,11123.4,325.96,11243.329,282.95523
19/02/2018,10552.6,299.7,12371.241,310.09143
20/02/2018,11231.8,317,11603.895,286.8009
21/02/2018,11372.2,302.39,12396.284,302.82303
22/02/2018,10660.4,320.63,12406.142,290.83282
23/02/2018,9937.07,280.41,11881.961,304.65228
24/02/2018,10287.699,285.68,10863.12,269.13898
25/02/2018,9796.42,273.03,11239.769,274.34814
26/02/2018,9669.43,282.28,10673.265,262.54175
27/02/2018,10393.9,295.06,10619.136,270.2031
28/02/2018,10687.2,301.54,11414.761,282.54047
01/03/2018,10385,286.03,11747.541,288.63913
02/03/2018,10977.401,313.52,11335.651,274.8473
03/03/2018,11101.9,346.02,12124.236,299.353
04/03/2018,11497.4,351.75,12532.957,326.7322
05/03/2018,11532.4,369.06,12964.718,332.3197
06/03/2018,11500.1,368.89,13167.131,346.62793
07/03/2018,10803.9,346.24,13134.581,346.4189
08/03/2018,9951.44,338.13,12249.243,326.2883
09/03/2018,9414.69,277.61,11351.951,317.83374
10/03/2018,9350.59,290.72,10338.133,265.71365
11/03/2018,8852.78,256.67,10374.322,276.77686
12/03/2018,9602.93,282.43,9645.68,246.63318
13/03/2018,9173.04,258.22,10556.003,270.20047
14/03/2018,9214.65,248.32,9966.991,248.57921
15/03/2018,8290.76,215.84,9941.148,240.09155
16/03/2018,8322.91,213.21,8847.916,209.96532
17/03/2018,8321.91,215.49,8864.643,207.70609
18/03/2018,7890.52,197.43,8876.291,209.71393
19/03/2018,8344.12,210.33,8360.11,192.95743
20/03/2018,8619.67,217.94,8869.514,205.20354
21/03/2018,8937.48,224.26,9179.347,212.4216
22/03/2018,8939.44,218.56,9523.587,218.57419
23/03/2018,8736.25,212.47,9492.353,213.5726
24/03/2018,8901.95,215.37,9261.577,207.82304
25/03/2018,8612.81,207.32,9437.984,210.69392
26/03/2018,8498.47,211.79,9113.916,203.04343
27/03/2018,8200,196.85,9027.419,206.7773
28/03/2018,7836.83,187.47,8658.662,193.0002
29/03/2018,7979.07,199.31,8258.954,183.99289
30/03/2018,7171.45,176,8456.028,194.78513
31/03/2018,6892.4805,172.53,7555.3086,172.57233
01/04/2018,7003.06,178.78,7265.9287,168.98868
02/04/2018,6844.86,175.87,7401.873,174.78377
03/04/2018,7102.2593,177.57,7233.2417,171.91125
04/04/2018,7456.4106,189.4,7494.1763,173.86447
05/04/2018,6848.65,170.05,7896.084,185.0487
06/04/2018,6815.96,172.41,7212.331,166.68517
07/04/2018,6630.51,162.27,7189.981,168.75475
08/04/2018,6919.98,169.99,6965.7114,159.31232
09/04/2018,7044.3203,174.06,7282.3535,166.74907
10/04/2018,6795.44,167.06,7421.9434,170.61633
11/04/2018,6843.47,165.55,7147.575,163.90422
12/04/2018,6955.38,168.92,7188.783,162.62173
13/04/2018,7901.09,192.05,7312.7544,165.84451
14/04/2018,7874.6704,188.64,8343.734,188.19064
15/04/2018,7999.33,190.91,8301.45,185.10426
16/04/2018,8337.57,200.5,8433.906,187.35143
17/04/2018,8071.66,194.41,8810.993,196.49261
18/04/2018,7944.4307,195.83,8521.571,190.59781
19/04/2018,8159.27,228.41,8404.69,191.63167
20/04/2018,8286.88,239.01,8791.614,220.7696
21/04/2018,8848.79,271.41,8980.201,230.2626
22/04/2018,8925.06,257.32,9743.572,259.32495
23/04/2018,8794.39,270.81,9720.314,247.33061
24/04/2018,8934.34,282.18,9686.278,258.70874
25/04/2018,9701.029,293.56,9904.954,268.70935
26/04/2018,8867.32,258.09,10735.897,279.871
27/04/2018,9290.63,267.29,9669.382,247.88744
28/04/2018,8939.27,251.77002,10143.722,256.62103
29/04/2018,9346.41,260.91,9697.088,242.55574
30/04/2018,9426.11,256.35,10153.19,251.23506
01/05/2018,9251.47,242.45,10198.965,247.4543
02/05/2018,9104.6,239.93999,9938.683,235.06496
03/05/2018,9233.97,249.34001,9780.828,232.59686
04/05/2018,9695.501,246.67998,9966.519,241.0134
05/05/2018,9700.28,241.23,10393.632,239.61581
06/05/2018,9845.311,240.89001,10362.733,234.89142
07/05/2018,9645.67,235.74,10499.532,234.889
08/05/2018,9380.87,233.22,10275.404,230.00105
09/05/2018,9223.73,223.82,10005.287,227.2756
10/05/2018,9325.96,227.21,9797.15,218.74194
11/05/2018,9052.96,218.48,9915.778,221.91289
12/05/2018,8441.44,197.57,9601.442,213.72098
13/05/2018,8515.49,202.05,8896.663,194.08505
14/05/2018,8713.1,210.19,8991.62,198.197
15/05/2018,8705.19,214.69,9226.601,205.76767
16/05/2018,8504.41,204.87,9243.893,209.72104
17/05/2018,8370.05,199.34,8995.773,200.67354
18/05/2018,8091.83,193.02,8836.525,195.52357
19/05/2018,8255.73,203.62,8534.305,189.39757
20/05/2018,8246.99,197.79,8747.737,199.10753
21/05/2018,8522.33,203.83,8709.103,193.9211
22/05/2018,8419.87,198.64,9007.624,199.78638
23/05/2018,8037.0806,175.8,8881.244,194.99475
24/05/2018,7561.12,171.21,8399.882,173.91304
25/05/2018,7592.3,171.66,7916.237,168.94046
26/05/2018,7486.48,164.84,7948.6167,169.39975
27/05/2018,7362.08,164.47,7816.557,163.07426
28/05/2018,7371.31,166.23,7693.4556,162.52423
29/05/2018,7129.46,150.04,7709.7227,164.127
30/05/2018,7469.73,157.6,7409.8184,149.06664
31/05/2018,7406.15,154.56,7771.102,156.50636
01/06/2018,7500.7,155.89,7697.262,153.6434
02/06/2018,7536.72,157.59,7794.6333,155.01341
03/06/2018,7632.0903,162.66,7836.3965,156.61508
04/06/2018,7722.5303,169.07,7949.6587,161.36414
05/06/2018,7500.9,160.31,8064.511,167.30086
06/06/2018,7625.97,167.15,7812.2505,159.01088
07/06/2018,7650.82,164.68,7962.2793,165.40115
08/06/2018,7685.14,164.07,7976.2095,163.21939
09/06/2018,7632.52,158.52,8007.1216,162.73035
10/06/2018,7499.55,154.99,7933.4067,157.62558
11/06/2018,6799.29,139.55,7790.026,154.19658
12/06/2018,6905.82,138.46,7049.2954,138.96262
13/06/2018,6596.88,125.88,7150.148,138.14674
14/06/2018,6342.7505,121.94001,6807.396,126.1179
15/06/2018,6674.08,132.86,6546.0474,122.0828
16/06/2018,6455.45,121.74999,6904.5786,132.64215
17/06/2018,6545.53,126.96999,6656.43,122.091286
18/06/2018,6510.0693,123.82,6760.177,127.03352
19/06/2018,6742.39,127.38,6716.0615,124.08336
20/06/2018,6770.76,126.19,6954.686,127.73597
21/06/2018,6780.09,122.490005,6978.9116,126.691986
22/06/2018,6737.88,123.46,6977.121,123.31049
23/06/2018,6090.1,110.68,6938.6045,124.13065
24/06/2018,6164.28,115.15,6267.1226,111.29664
25/06/2018,6171.9697,121.18,6351.6987,115.542206
26/06/2018,6253.55,126.72,6375.5273,121.10978
27/06/2018,6084.4,120.63,6471.8413,126.33105
28/06/2018,6153.16,128.85,6287.522,120.464905
29/06/2018,5898.1304,117.3,6378.9663,128.12589
30/06/2018,6214.22,126.71,6094.3296,117.10584
01/07/2018,6411.68,131.05,6432.9873,126.259155
02/07/2018,6380.38,130.26,6640.773,130.55559
03/07/2018,6596.66,140.12,6607.509,129.78125
04/07/2018,6550.87,138.6,6851.996,139.14784
05/07/2018,6599.7095,139.24,6801.8794,137.6859
06/07/2018,6638.6904,138.38,6852.075,138.34987
07/07/2018,6668.71,133.83,6887.592,137.62886
08/07/2018,6857.8,135.28,6902.376,133.52068
09/07/2018,6775.08,137.94,7092.6084,135.16179
10/07/2018,6739.21,135.6,7020.173,137.45296
11/07/2018,6330.77,121.52,6977.301,135.25586
12/07/2018,6396.78,125.45,6533.0654,121.67714
13/07/2018,6235.03,120.82,6609.331,125.395645
14/07/2018,6247.5,122.40001,6436.7476,120.87918
15/07/2018,6272.7,123.130005,6453.4624,122.35256
16/07/2018,6357.01,123.98,6480.3784,123.064095
17/07/2018,6739.65,135.18,6565.9014,123.98107
18/07/2018,7315.3203,144.07,6976.376,134.87273
19/07/2018,7378.2,139.6,7569.9004,143.96129
20/07/2018,7467.4,139.55,7615.5728,140.0002
21/07/2018,7352.7197,129.82,7702.231,140.11217
22/07/2018,7417.8,131.88,7558.3174,131.02173
23/07/2018,7414.71,128.54,7628.2407,133.02167
24/07/2018,7716.51,133.84,7614.5034,129.95984
